artists,title,link
Aimless  Elijah Lee,Escapade,https://lofigirl.com/wp-content/uploads/2022/10/Escapade.zip
Yasumu/Plant Guy,Escaping Reality,https://lofigirl.com/wp-content/uploads/2022/10/Yasumu-Escaping-Reality.zip
Juliàn,Eternal Youth,https://lofigirl.com/wp-content/uploads/2023/02/Eternal-Youth.zip
ornithology,Ethereal Nights,https://lofigirl.com/wp-content/uploads/2022/11/MP3-SCayos-Ethereal-Nights.zip
Osaki,Evergarden,https://lofigirl.com/wp-content/uploads/2022/11/Osaki-Evergarden.zip
WYS  Sweet Medicine,Evermore,https://lofigirl.com/wp-content/uploads/2022/11/Evermore.zip
Kurt Stewart/Kayba  Lomme,Explore,https://lofigirl.com/wp-content/uploads/2022/10/Kayba-x-Lomme-Explore-.zip
Lucid Keys,faded,https://lofigirl.com/wp-content/uploads/2023/11/Faded.zip
Claudia Lessing  Dario Lessing  Tibeauthetraveler,Fairy Tales,https://lofigirl.com/wp-content/uploads/2023/11/Fairy-tales.zip
jhove,falling dreams,https://lofigirl.com/wp-content/uploads/2022/11/Falling-Dreams.zip
Lucid Keys,Fantasia,https://lofigirl.com/wp-content/uploads/2023/02/Fantasia.zip
Casiio,Far Off,https://lofigirl.com/wp-content/uploads/2022/11/Casiio-Far-Off.zip
Eugenio Izzi,Feel Free To Imagine,https://lofigirl.com/wp-content/uploads/2022/11/Feel-free-to-imagine.zip
Pandrezz,Feelin Better,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Pandrezz-Feelin-Better.zip
Bcalm  Banks,Feelings Pt.2,https://lofigirl.com/wp-content/uploads/2022/10/Bcalm-x-Banks-Feelings-Pt.2.zip
Bcalm  Banks,Feelings,https://lofigirl.com/wp-content/uploads/2022/11/Feelings.zip
Krynoze  Juliàn,Finding Answers,https://lofigirl.com/wp-content/uploads/2023/02/Finding-anwsers.zip
kainbeats,Finding Beauty,https://lofigirl.com/wp-content/uploads/2022/11/Finding-Beauty.zip
Another Silent Weekend  blurred figures,finding comfort,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Blurred-figured-x-another-silent-weekend-finding-comfort.zip
kainbeats,Finding Light,https://lofigirl.com/wp-content/uploads/2023/01/Finding-Light.zip
møndberg  BVG,Floating Dreams,https://lofigirl.com/wp-content/uploads/2022/11/Floating-Dreams.zip
Lawrence Walther,Floating into Serenity,https://lofigirl.com/wp-content/uploads/2022/10/Lawrence-Walther-Floating-into-Serenity.zip
lilac,Florist,https://lofigirl.com/wp-content/uploads/2022/10/Florist.zip
Bcalm,For You,https://lofigirl.com/wp-content/uploads/2022/11/Bcalm-For-You.zip
Mondo Loops,Forest Kingdom,https://lofigirl.com/wp-content/uploads/2022/10/Mondo-Loops-Foret-Kingdom.zip
xander,Forest Of Dreams,https://lofigirl.com/wp-content/uploads/2022/11/xander.-Forest-Of-Dreams.zip
Mondo Loops,Forest Tales,https://lofigirl.com/wp-content/uploads/2022/11/MP3-Mondo-Loops-Forest-Tales.zip
Hoogway,Forever Ago,https://lofigirl.com/wp-content/uploads/2022/10/Forever-Ago.zip
Laffey,Forever Changing,https://lofigirl.com/wp-content/uploads/2022/10/Forever-Changing.zip
vhsdreamers,Foudroie,https://lofigirl.com/wp-content/uploads/2023/06/vhsdreamers.zip
Hoogway,Fragments Of The Moon,https://lofigirl.com/wp-content/uploads/2023/07/Fragments-Of-The-Moon.zip
Softy,Frozen Lands,https://lofigirl.com/wp-content/uploads/2023/09/Frozen-Lands.zip
a[way],Frozen Roses,https://lofigirl.com/wp-content/uploads/2022/10/Frozen-Roses.zip
SPEECHLESS,Future Feelings,https://lofigirl.com/wp-content/uploads/2022/10/Future-feelings.zip
kalaido,Ghosts of the Floating World,https://lofigirl.com/wp-content/uploads/2022/11/Ghost-of-the-Floating-World.zip
BVG,Gilded Voyage,https://lofigirl.com/wp-content/uploads/2023/04/bvg-gilded.zip
Yestalgia,Glowing,https://lofigirl.com/wp-content/uploads/2023/05/Glowing.zip
Mondo Loops,Golden Age,https://lofigirl.com/wp-content/uploads/2023/11/Golden-Age.zip
fourwalls  jhove,Golden Hour,https://lofigirl.com/wp-content/uploads/2022/11/Golden-Hour.zip
